district,district_census_code,state,state_census_code,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,total_BMIM,total_BMIW,total_BPM,total_BPW,total_SUGM,total_SUGW,urban_BMIM,urban_BMIW,urban_BPM,urban_BPW,urban_SUGM,urban_SUGW
Upper Siang,252,Arunachal Pradesh,12,35.1,19.2,17.4,18.400000000000002,13.4,6.7,41.1,19.0,18.3,18.599999999999998,12.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0
Upper Subansiri,249,Arunachal Pradesh,12,14.4,14.1,31.099999999999998,20.3,7.6,5.1,16.1,15.5,27.9,20.5,7.9,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Bastar Kanker,413,Chhattisgarh,22,10.7,7.1,13.700000000000001,7.7,12.7,6.3,13.8,9.3,14.6,7.699999999999999,12.9,6.5,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Dinajpur,330,West Bengal,19,7.9,8.6,16.4,12.0,6.8,5.1,8.0,11.1,15.100000000000001,12.3,5.7,5.8,0.0,0.0,0.0,0.0,0.0,0.0
Uttara Kannada,563,Karnataka,29,5.0,15.7,17.7,12.299999999999999,9.9,5.8,16.5,20.4,19.5,13.4,12.8,6.1,0.0,0.0,0.0,0.0,0.0,0.0
Uttarkashi,056,Uttarakhand,05,7.5,10.3,7.0,6.3,10.4,4.3,11.3,11.5,10.4,6.6000000000000005,10.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Vadodara,486,Gujarat,24,12.9,14.1,13.8,11.9,6.1,5.1,20.7,22.0,15.399999999999999,13.8,6.5,6.5,27.3,29.3,16.8,15.7,6.8,7.8
Vaishali,220,Bihar,10,11.4,12.6,9.700000000000001,5.199999999999999,5.4,3.3,14.7,13.9,9.2,5.3,6.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Valsad,491,Gujarat,24,17.4,20.1,9.9,11.3,7.6,5.6,23.0,24.8,8.4,9.3,7.8,6.8,31.4,32.3,5.9,6.299999999999999,7.9,8.8
Varanasi,197,Uttar Pradesh,09,12.2,13.2,5.6,4.8,1.6,3.8,14.1,18.1,6.4,5.1,3.7,4.5,16.1,23.3,7.4,5.6,5.9,5.3
Vellore,605,Tamil Nadu,33,26.1,34.6,6.4,4.6000000000000005,11.6,9.3,26.1,34.3,10.6,5.7,10.3,8.5,26.1,34.0,14.0,6.7,9.2,7.8
Vidisha,443,Madhya Pradesh,23,4.6,11.1,6.2,12.2,9.0,7.9,4.4,11.3,13.3,12.4,8.6,8.1,0.0,0.0,0.0,0.0,0.0,0.0
Viluppuram,607,Tamil Nadu,33,33.4,23.0,14.6,6.1,13.4,5.5,34.1,24.6,14.6,6.699999999999999,12.1,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Virudhunagar,625,Tamil Nadu,33,15.1,22.9,27.6,7.3,9.9,9.0,17.7,32.9,22.8,9.6,6.7,8.4,20.1,43.2,18.3,11.999999999999998,3.9,7.7
Visakhapatnam,544,Andhra Pradesh,28,14.8,15.3,14.299999999999999,8.7,12.3,4.0,29.0,28.8,13.1,10.2,7.4,6.6,40.2,41.6,12.200000000000001,11.600000000000001,3.5,9.0
Vizianagaram,543,Andhra Pradesh,28,28.0,16.0,19.4,7.8,8.7,6.1,32.1,22.4,18.6,8.5,12.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Warangal,540,Telangana,28,23.9,18.7,13.6,8.5,7.8,4.9,25.5,24.9,14.799999999999999,10.000000000000002,7.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Wardha,504,Maharashtra,27,13.2,11.8,9.3,9.3,1.6,4.3,14.4,17.0,10.7,9.8,3.9,4.2,16.1,26.8,12.8,10.700000000000001,7.3,4.1
Washim,502,Maharashtra,27,11.3,8.8,15.8,7.3,7.9,3.4,18.5,11.4,15.1,7.8999999999999995,8.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayanad,590,Kerala,32,32.9,23.7,17.599999999999998,9.5,20.4,11.5,34.6,24.4,17.0,9.5,20.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0
West,096,NCT Delhi,07,0.0,0.0,0.0,0.0,0.0,0.0,22.5,33.6,0.6,6.3,8.3,6.5,22.5,33.6,0.6,6.3,8.3,6.5
West District,242,Sikkim,11,29.3,22.0,24.1,13.6,9.3,7.0,30.6,22.8,24.999999999999996,13.7,10.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0
West Garo Hills,293,Meghalaya,17,12.9,10.4,9.2,12.4,7.6,3.5,13.3,10.8,10.1,11.999999999999998,6.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0
West Godavari,546,Andhra Pradesh,28,39.5,36.9,18.7,10.6,6.7,6.1,41.3,40.0,17.0,10.200000000000001,9.9,7.6,0.0,0.0,0.0,0.0,0.0,0.0
West Kameng,246,Arunachal Pradesh,12,15.1,29.2,31.4,22.799999999999997,3.7,3.4,20.3,33.2,31.9,23.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0
West Khasi Hills,296,Meghalaya,17,8.9,7.7,6.200000000000001,7.8,3.3,2.9,7.9,8.2,7.4,8.3,3.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0
West Siang,250,Arunachal Pradesh,12,16.7,19.9,34.3,24.799999999999997,5.0,5.0,20.3,21.3,31.5,23.6,5.2,4.3,0.0,0.0,0.0,0.0,0.0,0.0
West Tripura,289,Tripura,16,18.4,14.2,19.7,16.1,11.4,7.7,18.6,18.4,16.099999999999998,15.399999999999999,10.2,8.6,18.8,23.9,11.3,14.2,8.8,9.8
Wokha,264,Nagaland,13,11.8,8.1,12.7,13.000000000000002,14.7,10.7,13.9,12.4,28.400000000000002,16.5,9.2,10.9,0.0,0.0,0.0,0.0,0.0,0.0
Y.S.R. Cuddapah,551,Andhra Pradesh,28,32.0,19.6,18.1,6.7,19.0,7.3,40.8,27.0,22.0,7.5,18.2,8.4,52.1,39.6,26.9,9.000000000000002,17.3,10.3
Yadgir,580,Karnataka,29,9.2,9.3,7.7,4.5,9.2,7.3,10.9,12.9,11.2,5.299999999999999,8.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0
Yamunanagar,071,Haryana,06,19.2,17.9,20.3,10.200000000000001,7.6,4.9,21.2,19.0,20.2,11.5,6.1,4.9,24.7,20.8,20.0,13.600000000000001,3.4,4.7
Yanam,634,Puducherry,34,0.0,0.0,0.0,0.0,0.0,0.0,35.8,36.2,10.5,10.2,4.0,7.6,35.8,36.2,10.5,10.2,4.0,7.6
Yavatmal,510,Maharashtra,27,12.7,10.6,6.2,6.999999999999999,4.3,4.1,14.4,13.0,6.1,7.4,5.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Zunheboto,263,Nagaland,13,7.8,16.8,14.5,14.3,4.5,9.6,10.9,18.5,20.400000000000002,16.5,6.4,9.3,0.0,0.0,0.0,0.0,0.0,0.0
