district,district_census_code,state,state_census_code,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,total_BMIM,total_BMIW,total_BPM,total_BPW,total_SUGM,total_SUGW,urban_BMIM,urban_BMIW,urban_BPM,urban_BPW,urban_SUGM,urban_SUGW
Ganderbal,011,Jammu & Kashmir,01,15.3,31.1,18.2,12.8,4.9,5.6,18.4,33.8,22.9,13.3,5.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Gandhinagar,473,Gujarat,24,17.4,15.1,14.9,10.9,9.7,4.9,19.2,22.1,17.4,12.6,7.1,4.7,20.9,30.0,19.8,14.5,4.8,4.5
Ganganagar,099,Rajasthan,08,24.0,19.0,12.1,8.4,4.2,6.3,24.4,20.5,14.5,8.0,4.4,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Ganjam,388,Odisha,21,10.0,18.2,5.6,5.8999999999999995,9.9,7.6,16.4,20.9,8.700000000000001,6.6,10.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0
Garhwa,346,Jharkhand,20,9.1,7.3,11.6,5.3,2.5,2.5,9.7,7.5,13.100000000000001,5.7,3.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Garhwal,061,Uttarakhand,05,12.4,16.6,24.099999999999998,7.6,5.9,7.9,14.0,17.5,21.2,8.3,5.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Gautam Buddha Nagar,141,Uttar Pradesh,09,18.8,25.5,9.4,5.9,6.1,3.5,23.9,29.8,12.0,7.3,8.6,4.7,26.8,31.9,13.3,7.8999999999999995,9.9,5.3
Gaya,236,Bihar,10,17.1,9.6,11.3,7.6,4.8,3.8,17.9,11.1,10.4,7.3999999999999995,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghaziabad,140,Uttar Pradesh,09,14.6,25.0,4.0,6.3999999999999995,7.9,5.3,23.6,30.2,12.1,7.6000000000000005,8.5,6.6,26.1,32.1,14.299999999999999,7.8999999999999995,8.6,7.1
Ghazipur,195,Uttar Pradesh,09,16.6,11.8,12.4,7.300000000000001,4.6,4.1,19.4,13.4,11.6,7.4,5.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Giridih,349,Jharkhand,20,4.2,5.2,12.0,5.8999999999999995,3.9,3.5,10.8,7.0,12.6,6.2,5.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Goalpara,302,Assam,18,12.3,9.6,11.5,14.600000000000001,5.0,2.7,13.4,11.6,15.7,15.500000000000002,4.3,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Godda,351,Jharkhand,20,7.6,6.0,21.299999999999997,8.9,12.2,4.8,7.2,6.9,19.900000000000002,8.9,11.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0
Golaghat,313,Assam,18,11.8,11.8,19.5,18.200000000000003,14.7,5.9,13.6,12.8,20.4,17.7,13.8,6.6,0.0,0.0,0.0,0.0,0.0,0.0
Gonda,183,Uttar Pradesh,09,5.5,12.1,22.400000000000002,14.8,10.8,9.5,7.1,12.7,21.7,14.8,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Gondiya,507,Maharashtra,27,7.1,4.8,15.4,12.6,9.0,4.5,9.5,6.8,16.7,12.2,10.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Gopalganj,217,Bihar,10,20.0,16.4,12.4,7.7,3.2,6.1,22.2,16.1,11.9,7.300000000000001,3.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0
Gorakhpur,188,Uttar Pradesh,09,18.5,15.1,13.8,9.8,9.4,6.3,17.8,20.0,16.1,9.9,9.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Gulbarga,579,Karnataka,29,19.7,10.3,25.299999999999997,8.4,6.7,3.6,18.8,14.8,24.4,7.7,8.5,3.6,17.2,20.9,22.8,6.9,11.8,3.6
Gumla,366,Jharkhand,20,7.9,5.4,6.200000000000001,7.8999999999999995,5.1,3.5,8.2,7.6,7.3,7.9,4.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Guna,458,Madhya Pradesh,23,4.3,6.8,7.9,6.3999999999999995,1.9,1.8,5.8,10.9,8.0,7.1,3.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Guntur,548,Andhra Pradesh,28,32.8,38.8,10.399999999999999,11.0,19.6,7.7,39.0,45.1,11.5,11.2,19.0,9.3,48.1,55.2,13.2,11.3,18.1,12.1
Gurdaspur,035,Punjab,03,16.8,28.8,13.899999999999999,12.299999999999999,2.8,6.4,22.1,31.6,15.0,13.8,5.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0
Gurgaon,086,Haryana,06,22.0,20.1,23.099999999999998,9.8,8.8,6.7,21.8,20.2,20.4,7.8,9.5,6.5,21.7,20.2,19.5,7.300000000000001,9.7,6.4
Gwalior,421,Madhya Pradesh,23,5.7,6.7,8.6,4.1,4.6,2.2,11.1,14.1,10.799999999999999,5.0,5.7,3.6,14.1,17.5,12.1,5.5,6.3,4.2
Hailakandi,318,Assam,18,6.6,6.1,9.599999999999998,9.5,3.7,3.7,6.9,7.4,9.5,10.200000000000001,3.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Hamirpur,028,Himachal Pradesh,02,30.5,30.4,34.2,15.299999999999999,7.7,6.1,31.5,30.9,34.1,15.5,7.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
Hamirpur,168,Uttar Pradesh,09,6.3,4.4,5.4,3.3,6.4,2.3,6.1,6.7,7.2,4.1,5.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Hanumangarh,100,Rajasthan,08,11.5,13.2,22.4,9.200000000000001,8.6,3.7,12.1,14.8,22.400000000000002,9.5,7.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0
Haora,341,West Bengal,19,11.6,20.6,13.3,17.099999999999998,16.8,7.8,17.0,25.9,8.3,14.5,15.3,7.1,20.5,29.2,5.1,12.9,14.3,6.6
Harda,448,Madhya Pradesh,23,10.4,11.7,12.100000000000001,9.1,8.8,5.0,12.4,16.3,13.2,8.2,8.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Hardoi,155,Uttar Pradesh,09,2.2,9.2,7.4,7.1000000000000005,6.1,3.6,4.1,12.2,6.5,7.6,6.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Hardwar,068,Uttarakhand,05,15.8,17.3,12.8,9.299999999999999,7.9,6.6,19.3,24.0,16.3,10.5,9.7,6.5,25.1,32.5,22.2,12.0,12.7,6.2
Hassan,574,Karnataka,29,26.3,22.0,17.200000000000003,11.7,3.1,6.8,28.7,27.9,16.099999999999998,12.5,6.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0
Haveri,564,Karnataka,29,11.8,16.7,3.6999999999999997,10.4,6.8,4.8,15.0,19.6,6.0,10.899999999999999,5.4,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Hazaribagh,360,Jharkhand,20,14.3,7.7,11.5,5.1000000000000005,8.9,3.6,12.1,9.5,12.6,5.800000000000001,9.7,4.2,0.0,0.0,0.0,0.0,0.0,0.0
Hingoli,512,Maharashtra,27,4.6,10.9,14.899999999999999,11.1,6.3,3.8,7.4,13.9,15.7,11.100000000000001,6.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Hisar,080,Haryana,06,19.4,15.6,15.1,8.299999999999999,6.9,3.0,20.7,17.8,19.200000000000003,9.799999999999999,5.4,3.0,23.0,22.3,26.599999999999998,12.999999999999998,2.6,3.0
Hoshangabad,449,Madhya Pradesh,23,3.7,10.7,6.5,7.000000000000001,6.9,2.6,7.8,14.7,6.5,7.6,6.5,3.0,15.8,23.0,6.6,8.9,5.9,3.9
Hoshiarpur,038,Punjab,03,24.4,31.2,19.4,13.200000000000001,1.9,7.4,23.6,31.0,20.0,13.8,2.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugli,338,West Bengal,19,17.6,28.1,12.5,12.9,12.8,10.7,17.2,29.9,11.799999999999999,13.4,12.1,9.8,16.6,33.4,10.8,14.299999999999999,11.0,8.1
Hyderabad,536,Telangana,28,0.0,0.0,0.0,0.0,0.0,0.0,33.7,47.9,24.1,12.3,8.3,9.0,33.7,47.9,24.1,12.3,8.3,9.0
Idukki,596,Kerala,32,25.1,27.6,7.1,4.9,15.0,9.4,26.2,28.9,7.0,5.199999999999999,14.6,9.5,0.0,0.0,0.0,0.0,0.0,0.0
Imphal East,278,Manipur,14,24.8,28.6,21.900000000000002,11.799999999999999,9.6,6.8,22.2,30.8,22.400000000000002,12.0,11.3,8.0,18.3,33.4,23.1,12.1,13.9,9.3
Imphal West,277,Manipur,14,22.9,25.5,11.3,13.700000000000001,10.4,8.7,23.4,30.7,20.0,14.200000000000001,9.5,9.1,23.7,33.6,25.2,14.599999999999998,9.0,9.4
Indore,439,Madhya Pradesh,23,0.0,0.0,0.0,0.0,0.0,0.0,22.3,23.6,13.6,6.9,7.8,5.4,21.4,24.3,15.399999999999999,7.3999999999999995,8.6,6.1
Jabalpur,451,Madhya Pradesh,23,9.8,10.8,9.399999999999999,7.699999999999999,7.2,4.7,15.3,21.0,12.6,8.4,8.0,5.3,20.1,28.2,15.399999999999999,8.899999999999999,8.7,5.7
Jagatsinghapur,380,Odisha,21,26.0,25.2,18.8,8.9,15.8,6.5,28.3,25.7,18.400000000000002,8.8,14.8,6.4,0.0,0.0,0.0,0.0,0.0,0.0
Jaintia Hills,299,Meghalaya,17,6.7,10.1,7.6000000000000005,7.6000000000000005,5.1,4.0,7.4,10.4,9.7,7.5,4.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0
Jaipur,110,Rajasthan,08,10.2,12.0,17.4,9.1,4.8,3.2,14.6,17.4,19.1,9.700000000000001,6.2,3.0,18.6,22.8,20.7,10.299999999999999,7.5,2.9
Jaisalmer,114,Rajasthan,08,9.1,10.5,10.8,4.8999999999999995,3.6,1.8,9.7,12.8,10.5,4.6,3.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0
Jajapur,382,Odisha,21,8.0,17.1,12.6,8.8,9.4,8.4,9.4,17.5,12.700000000000001,8.5,9.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Jalandhar,037,Punjab,03,34.4,28.6,17.599999999999998,13.8,7.2,7.4,27.0,26.9,18.4,10.5,6.8,5.7,20.9,25.5,19.1,7.7,6.5,4.2
Jalaun,165,Uttar Pradesh,09,8.9,9.1,8.1,3.6,3.7,2.2,9.4,11.2,6.8,4.2,3.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,499,Maharashtra,27,15.3,20.0,17.2,10.5,1.7,4.2,19.5,23.8,18.0,9.700000000000001,3.6,4.5,28.9,33.1,20.0,7.6000000000000005,7.9,5.1
Jalna,514,Maharashtra,27,15.1,12.1,13.5,9.4,2.9,2.2,20.3,15.5,15.600000000000001,9.7,2.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Jalor,116,Rajasthan,08,9.7,8.2,7.5,5.7,6.9,4.0,9.6,9.3,8.6,6.2,6.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Jalpaiguri,328,West Bengal,19,9.6,9.6,19.1,17.3,5.9,5.4,10.6,14.8,22.900000000000002,18.099999999999998,6.1,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Jammu,021,Jammu & Kashmir,01,21.2,29.6,15.3,12.200000000000001,9.6,6.2,28.4,36.9,19.099999999999998,13.200000000000001,11.5,7.5,36.3,45.0,23.2,14.4,13.7,9.0
Jamnagar,477,Gujarat,24,29.6,21.3,7.0,4.7,4.3,5.7,21.1,29.4,4.9,6.1,5.8,6.0,14.1,37.9,3.2,7.5,7.1,6.4
Jamtara,363,Jharkhand,20,7.4,4.3,6.9,7.300000000000001,8.1,5.0,8.6,6.1,7.7,7.6000000000000005,9.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Jamui,238,Bihar,10,11.7,6.9,6.6,4.5,3.7,2.9,11.6,7.0,7.5,4.3,3.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0
Janjgir Champa,405,Chhattisgarh,22,6.4,12.5,12.899999999999999,7.1,9.2,7.1,7.4,13.9,13.1,7.1,8.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0
Jashpur,402,Chhattisgarh,22,5.9,7.5,15.0,12.7,10.6,4.3,8.3,8.2,16.4,12.4,11.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0
Jaunpur,194,Uttar Pradesh,09,13.0,14.1,7.699999999999999,4.9,3.5,3.7,16.1,14.7,10.1,5.2,4.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0
Jehanabad,239,Bihar,10,10.2,9.5,7.6,4.5,4.4,5.2,11.4,10.9,9.6,4.4,5.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0
Jhabua,464,Madhya Pradesh,23,7.0,9.1,10.0,8.700000000000001,8.8,4.8,6.4,9.9,12.8,9.1,8.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhajjar,083,Haryana,06,18.1,23.5,22.7,8.6,5.4,6.0,14.4,21.6,19.5,8.4,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Jhalawar,129,Rajasthan,08,5.6,7.2,9.3,5.1,10.3,4.4,9.0,8.6,9.9,5.2,10.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Jhansi,166,Uttar Pradesh,09,3.0,9.6,6.2,3.8999999999999995,3.8,3.6,9.9,16.0,8.4,5.6,4.2,4.5,16.1,23.7,10.6,7.6000000000000005,4.6,5.6
Jharsuguda,371,Odisha,21,7.3,10.5,8.1,6.8,12.1,8.4,16.0,18.6,8.7,7.0,11.2,8.4,30.0,30.6,9.6,7.4,9.7,8.3
Jhunjhunun,103,Rajasthan,08,16.3,16.1,15.5,6.8999999999999995,3.3,2.2,17.1,17.3,14.299999999999999,8.1,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0
Jind,077,Haryana,06,11.8,15.8,14.7,6.4,2.6,3.5,14.5,17.5,17.700000000000003,6.4,3.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Jodhpur,113,Rajasthan,08,13.8,13.9,16.099999999999998,5.4,9.8,2.6,18.1,18.3,13.600000000000001,6.0,8.9,3.2,25.0,26.1,9.6,7.2,7.5,4.4
Jorhat,312,Assam,18,10.2,7.8,23.5,15.099999999999998,8.3,5.7,10.4,10.6,24.2,15.7,8.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
Junagadh,479,Gujarat,24,20.2,21.4,7.9,8.3,8.3,5.3,21.3,25.5,9.100000000000001,8.3,9.5,5.1,23.4,34.5,11.6,8.4,11.9,4.7
Jyotiba Phule Nagar,137,Uttar Pradesh,09,7.9,13.7,10.5,5.2,6.6,6.2,10.5,16.9,12.1,5.8,7.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0
Kabirdham,407,Chhattisgarh,22,10.0,7.5,9.1,6.2,7.8,7.1,8.8,8.8,12.299999999999999,6.800000000000001,7.7,7.8,0.0,0.0,0.0,0.0,0.0,0.0
Kachchh,468,Gujarat,24,20.8,19.8,9.5,3.9,6.4,4.7,20.4,19.9,9.3,4.2,5.5,4.5,19.7,20.3,8.9,4.999999999999999,4.0,4.1
Kaimur,233,Bihar,10,12.2,11.6,6.3,5.5,5.6,5.8,15.5,13.7,6.5,5.3999999999999995,5.9,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Kaithal,073,Haryana,06,25.4,22.0,19.3,8.0,5.5,5.1,25.0,25.3,14.9,8.700000000000001,5.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Kalahandi,395,Odisha,21,8.6,7.4,6.6000000000000005,6.4,7.6,4.3,14.1,9.6,9.5,6.8999999999999995,8.4,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Kamrup,321,Assam,18,14.4,13.3,10.799999999999999,12.5,2.2,4.2,12.3,14.6,10.5,12.700000000000001,2.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamrup Metropolitan,322,Assam,18,0.0,0.0,0.0,0.0,0.0,0.0,26.5,26.3,16.1,12.5,4.3,6.5,29.7,27.5,12.0,12.8,4.5,6.9
Kancheepuram,604,Tamil Nadu,33,22.1,33.5,10.899999999999999,8.9,6.8,6.8,28.3,39.2,13.7,7.9,8.0,6.4,31.0,42.4,14.8,7.4,8.5,6.2
Kandhamal,390,Odisha,21,5.7,6.8,3.8,5.1000000000000005,5.8,3.6,7.0,8.2,4.0,5.3,6.6,3.5,0.0,0.0,0.0,0.0,0.0,0.0
Kangra,024,Himachal Pradesh,02,21.6,27.7,21.6,13.399999999999999,7.6,7.5,20.5,28.2,19.7,13.1,6.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0
Kannauj,160,Uttar Pradesh,09,3.7,11.7,10.5,6.3,4.4,2.8,10.1,13.5,8.9,7.3999999999999995,5.7,2.8,0.0,0.0,0.0,0.0,0.0,0.0
Kanniyakumari,629,Tamil Nadu,33,0.0,0.0,0.0,0.0,0.0,0.0,34.6,42.5,23.0,7.9,12.5,9.3,34.6,42.4,25.8,8.2,15.5,10.1
Kannur,589,Kerala,32,34.4,33.4,15.6,6.0,24.6,12.2,30.1,30.1,16.4,7.000000000000001,15.0,7.5,26.8,28.4,16.9,7.500000000000001,7.0,4.7
Kanpur Dehat,163,Uttar Pradesh,09,2.3,10.4,4.6,3.5,3.8,2.0,4.6,11.5,5.2,3.5,3.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0
Kanpur Nagar,164,Uttar Pradesh,09,10.1,10.4,6.800000000000001,5.1,3.9,3.0,16.4,16.9,9.1,5.9,3.6,3.2,19.1,19.4,10.0,6.2,3.5,3.2
Kanshiram Nagar,202,Uttar Pradesh,09,7.2,10.9,6.1,4.8999999999999995,3.9,2.1,8.4,13.4,7.2,6.1,3.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Kapurthala,036,Punjab,03,32.4,41.9,17.799999999999997,9.4,16.5,6.7,31.6,38.8,17.599999999999998,9.4,14.7,7.7,30.0,33.2,17.3,9.399999999999999,11.4,9.5
Karaikal,637,Puducherry,34,26.8,32.2,25.1,7.4,19.8,10.0,38.4,38.6,25.2,8.2,12.1,9.5,51.3,44.7,25.299999999999997,8.899999999999999,3.6,9.0
Karauli,107,Rajasthan,08,6.2,8.0,10.9,6.6000000000000005,3.7,3.1,7.5,10.2,13.2,7.7,4.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0
Karbi Anglong,314,Assam,18,10.3,12.5,17.799999999999997,17.099999999999998,9.4,4.1,11.2,13.8,19.3,17.1,8.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Kargil,004,Jammu & Kashmir,01,10.3,11.2,8.4,6.5,0.7,1.0,10.9,13.6,6.9,5.699999999999999,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karimganj,317,Assam,18,7.4,9.2,16.599999999999998,11.900000000000002,3.2,5.0,11.8,10.5,20.5,13.200000000000001,4.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
Karimnagar,534,Telangana,28,13.3,19.5,10.799999999999999,11.100000000000001,6.7,6.4,20.3,24.8,21.9,10.3,5.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0
Karnal,074,Haryana,06,30.4,23.0,12.6,4.3,10.1,4.1,27.5,26.3,12.0,5.7,8.5,4.0,19.2,33.7,10.2,8.799999999999999,3.7,3.7
Karur,613,Tamil Nadu,33,24.0,22.6,22.8,5.6,14.5,6.6,26.8,31.4,21.799999999999997,7.8,14.6,7.7,30.1,43.3,20.599999999999998,10.799999999999999,14.7,9.3
Kasaragod,588,Kerala,32,18.4,23.7,9.1,10.0,9.4,9.0,24.4,27.5,7.1,7.5,9.8,7.7,32.1,33.3,4.3,3.9,10.2,5.8
Kathua,007,Jammu & Kashmir,01,15.6,23.3,14.3,7.7,7.0,4.3,19.2,24.6,14.1,8.0,7.8,4.3,0.0,0.0,0.0,0.0,0.0,0.0
Katihar,212,Bihar,10,5.5,6.1,6.800000000000001,5.1,5.4,5.2,6.3,8.0,6.5,4.9,5.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Katni,450,Madhya Pradesh,23,10.0,11.1,11.3,10.000000000000002,8.6,10.0,14.7,16.0,12.7,9.7,8.6,9.4,0.0,0.0,0.0,0.0,0.0,0.0
Kaushambi,174,Uttar Pradesh,09,11.2,8.5,5.4,5.4,5.6,2.6,9.1,8.4,8.299999999999999,5.1000000000000005,6.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Kendrapara,379,Odisha,21,6.4,15.7,10.799999999999999,6.4,9.0,7.6,8.9,16.4,12.1,6.9,10.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0
Kendujhar,375,Odisha,21,13.8,10.6,12.399999999999999,15.399999999999999,6.5,8.5,22.9,13.9,17.7,15.399999999999999,4.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0
Khagaria,223,Bihar,10,12.0,10.0,6.7,3.6,4.9,3.1,13.3,10.7,8.0,3.8,4.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Khammam,541,Telangana,28,18.2,23.1,16.4,10.5,7.6,7.4,26.1,27.3,15.600000000000001,10.200000000000001,8.8,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Khandwa (East Nimar),466,Madhya Pradesh,23,5.2,8.1,7.3,7.9,2.6,4.7,9.1,12.9,11.4,9.1,4.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0
Khargone (West Nimar),440,Madhya Pradesh,23,8.9,8.1,13.6,9.7,4.8,4.5,11.7,11.3,12.600000000000001,9.8,4.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Kheda,483,Gujarat,24,9.3,15.0,13.2,10.3,9.3,5.6,11.5,18.0,13.700000000000001,10.6,7.7,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Kheri,153,Uttar Pradesh,09,5.6,7.5,8.3,10.599999999999998,5.9,3.1,6.5,8.5,9.5,10.1,5.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0
Khordha,386,Odisha,21,19.7,25.7,4.8,7.8999999999999995,9.8,8.3,27.1,30.2,10.3,7.7,10.6,7.4,32.4,34.0,14.4,7.499999999999999,11.2,6.7
Khunti,365,Jharkhand,20,3.8,4.2,9.7,9.4,8.8,5.9,4.7,5.1,9.700000000000001,9.200000000000001,8.4,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Kinnaur,034,Himachal Pradesh,02,22.0,27.6,20.1,9.399999999999999,6.4,3.8,22.0,27.6,20.1,9.399999999999999,6.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Kiphire,269,Nagaland,13,7.8,8.4,22.0,12.399999999999999,7.0,5.4,8.2,9.0,21.099999999999998,13.2,9.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0
Kishanganj,210,Bihar,10,7.7,5.4,11.9,7.8,10.2,4.6,7.4,6.1,13.999999999999998,7.800000000000001,13.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0
Kishtwar,018,Jammu & Kashmir,01,13.3,12.8,12.3,9.1,2.8,2.5,16.1,14.5,11.900000000000002,8.7,3.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0
Koch Bihar,329,West Bengal,19,9.2,7.6,16.700000000000003,11.100000000000001,5.7,7.1,9.5,9.7,17.6,11.5,6.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Kodagu,576,Karnataka,29,24.0,23.9,11.2,12.4,8.4,7.4,24.2,26.2,10.200000000000001,12.399999999999999,7.2,7.6,0.0,0.0,0.0,0.0,0.0,0.0
Kodarma,348,Jharkhand,20,11.2,7.3,8.7,6.6,5.0,4.1,7.8,8.9,9.4,7.0,7.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Kohima,270,Nagaland,13,19.5,18.9,27.200000000000003,20.3,6.6,7.2,22.5,20.3,29.8,18.8,12.3,7.3,23.6,21.1,30.900000000000002,17.8,14.4,7.4
Kokrajhar,300,Assam,18,12.0,10.4,27.700000000000003,18.900000000000002,5.3,6.1,13.9,11.9,28.0,19.8,7.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0
Kolar,581,Karnataka,29,12.9,15.2,6.4,9.700000000000001,10.7,5.9,21.3,23.6,10.200000000000001,10.700000000000001,10.9,6.4,29.2,37.4,13.8,12.299999999999999,11.1,7.4
Kolasib,282,Mizoram,15,5.4,17.7,8.299999999999999,7.7,19.3,11.1,19.2,24.9,15.5,8.200000000000001,13.6,11.3,23.4,26.9,17.7,8.4,11.9,11.3
Kolhapur,530,Maharashtra,27,23.1,24.7,19.700000000000003,14.2,3.5,6.4,24.4,27.2,22.200000000000003,13.200000000000001,5.0,6.1,26.6,32.6,26.6,11.5,7.6,5.3
Kolkata,342,West Bengal,19,0.0,0.0,0.0,0.0,0.0,0.0,42.8,40.7,23.3,12.5,22.2,8.5,42.8,40.7,23.3,12.5,22.2,8.5
Kollam,600,Kerala,32,20.2,34.4,4.4,12.3,12.5,8.9,30.6,38.2,9.6,9.3,10.4,9.4,46.9,42.6,17.6,5.8,7.1,10.0
Koppal,560,Karnataka,29,15.0,10.5,15.4,6.5,9.4,6.5,20.2,12.0,14.1,6.999999999999999,9.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0
Koraput,398,Odisha,21,8.8,6.3,13.599999999999998,9.899999999999999,8.5,5.2,18.3,10.2,13.9,10.0,12.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Korba,404,Chhattisgarh,22,3.7,7.3,19.5,11.0,8.3,5.9,9.6,14.8,19.400000000000002,10.4,9.4,6.2,21.6,26.8,19.0,9.8,11.5,6.7
Korea,400,Chhattisgarh,22,10.1,7.1,11.5,12.4,4.2,4.2,13.6,11.1,12.600000000000001,12.1,4.1,4.5,21.5,19.6,15.0,11.7,3.9,5.1
Kota,127,Rajasthan,08,8.6,11.6,9.6,4.8,6.3,3.9,16.3,20.6,11.3,5.700000000000001,7.7,4.6,20.9,26.1,12.4,6.300000000000001,8.5,5.1
Kottayam,597,Kerala,32,24.7,29.6,4.9,7.7,12.1,10.1,33.6,31.5,5.3,7.1000000000000005,15.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0
Kozhikode,591,Kerala,32,9.3,23.1,7.8,4.5,17.4,9.5,16.4,27.1,6.6,4.8999999999999995,19.6,9.9,20.4,29.5,6.0,5.1000000000000005,20.7,10.2
Krishna,547,Andhra Pradesh,28,38.6,40.9,12.100000000000001,11.099999999999998,1.8,11.2,46.6,45.5,10.6,11.2,4.9,12.5,61.3,53.9,7.6,11.100000000000001,10.9,14.9
Krishnagiri,631,Tamil Nadu,33,19.7,19.1,16.2,7.0,8.7,4.4,21.0,24.4,14.100000000000001,7.8,7.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0
Kulgam,015,Jammu & Kashmir,01,13.4,30.0,12.0,15.1,5.7,4.8,15.5,31.4,12.5,14.399999999999999,6.3,5.7,0.0,0.0,0.0,0.0,0.0,0.0
Kullu,026,Himachal Pradesh,02,20.2,25.7,31.7,13.200000000000001,5.2,3.4,20.6,26.7,31.0,13.600000000000001,6.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Kupwara,001,Jammu & Kashmir,01,12.7,16.1,8.1,9.5,3.7,5.3,15.5,20.5,6.5,9.4,6.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Kurnool,552,Andhra Pradesh,28,26.7,20.3,16.8,9.9,1.0,5.1,31.7,24.9,17.0,9.9,2.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Kurukshetra,072,Haryana,06,18.2,19.5,17.9,10.600000000000001,4.2,2.8,18.8,19.6,16.700000000000003,9.600000000000001,4.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0
