district,district_census_code,state,rural_BMIM,rural_BMIW,rural_BPM,rural_BPW,rural_SUGM,rural_SUGW,rural_BMI_show,rural_BP_show,rural_SUG_show,rural_ALL_show
Kanpur Dehat,163,Uttar Pradesh,2.3,10.4,4.6,3.5,3.8,2.0,no,no,no,no
Kanpur Nagar,164,Uttar Pradesh,10.1,10.4,6.800000000000002,5.1,3.9,3.0,no,no,no,no
Kanshiram Nagar,202,Uttar Pradesh,7.2,10.9,6.1,4.9,3.9,2.1,no,no,no,no
Kapurthala,36,Punjab,32.4,41.9,17.799999999999994,9.4,16.5,6.7,yes,yes,yes,yes
Karaikal,637,Puducherry,26.8,32.2,25.1,7.4,19.8,10.0,yes,no,yes,no
Karauli,107,Rajasthan,6.2,8.0,10.9,6.6000000000000005,3.7,3.1,no,no,no,no
Karbi Anglong,314,Assam,10.3,12.5,17.799999999999994,17.099999999999998,9.4,4.1,no,yes,no,no
Kargil,4,Jammu & Kashmir,10.3,11.2,8.4,6.5,0.7,1.0,no,no,no,no
Karimganj,317,Assam,7.4,9.2,16.599999999999998,11.900000000000002,3.2,5.0,no,yes,no,no
Karimnagar,534,Telangana,13.3,19.5,10.8,11.1,6.7,6.4,yes,no,no,no
Karnal,74,Haryana,30.4,23.0,12.6,4.3,10.1,4.1,yes,no,no,no
Karur,613,Tamil Nadu,24.0,22.6,22.8,5.6,14.5,6.6,yes,no,yes,no
Kasaragod,588,Kerala,18.4,23.7,9.1,10.0,9.4,9.0,yes,no,yes,no
Kathua,7,Jammu & Kashmir,15.6,23.3,14.3,7.7,7.0,4.3,yes,no,no,no
Katihar,212,Bihar,5.5,6.1,6.800000000000002,5.1,5.4,5.2,no,no,no,no
Katni,450,Madhya Pradesh,10.0,11.1,11.3,10.000000000000002,8.6,10.0,no,no,yes,no
Kaushambi,174,Uttar Pradesh,11.2,8.5,5.4,5.4,5.6,2.6,no,no,no,no
Kendrapara,379,Odisha,6.4,15.7,10.8,6.4,9.0,7.6,no,no,yes,no
Kendujhar,375,Odisha,13.8,10.6,12.4,15.4,6.5,8.5,no,yes,no,no
Khagaria,223,Bihar,12.0,10.0,6.7,3.6,4.9,3.1,no,no,no,no
Khammam,541,Telangana,18.2,23.1,16.4,10.5,7.6,7.4,yes,yes,yes,yes
Khandwa (East Nimar),466,Madhya Pradesh,5.2,8.1,7.3,7.9,2.6,4.7,no,no,no,no
Khargone (West Nimar),440,Madhya Pradesh,8.9,8.1,13.6,9.7,4.8,4.5,no,yes,no,no
Kheda,483,Gujarat,9.3,15.0,13.2,10.3,9.3,5.6,no,yes,yes,no
Kheri,153,Uttar Pradesh,5.6,7.5,8.3,10.599999999999998,5.9,3.1,no,no,no,no
Khordha,386,Odisha,19.7,25.7,4.8,7.899999999999999,9.8,8.3,yes,no,yes,no
Khunti,365,Jharkhand,3.8,4.2,9.7,9.4,8.8,5.9,no,no,yes,no
Kinnaur,34,Himachal Pradesh,22.0,27.6,20.1,9.4,6.4,3.8,yes,yes,no,no
Kiphire,269,Nagaland,7.8,8.4,22.0,12.4,7.0,5.4,no,yes,yes,no
Kishanganj,210,Bihar,7.7,5.4,11.9,7.8,10.2,4.6,no,no,no,no
Kishtwar,18,Jammu & Kashmir,13.3,12.8,12.3,9.1,2.8,2.5,no,no,no,no
Koch Bihar,329,West Bengal,9.2,7.6,16.700000000000006,11.1,5.7,7.1,no,yes,no,no
Kodagu,576,Karnataka,24.0,23.9,11.2,12.4,8.4,7.4,yes,no,yes,no
Kodarma,348,Jharkhand,11.2,7.3,8.7,6.6,5.0,4.1,no,no,no,no
Kohima,270,Nagaland,19.5,18.9,27.200000000000006,20.3,6.6,7.2,yes,yes,no,no
Kokrajhar,300,Assam,12.0,10.4,27.700000000000006,18.9,5.3,6.1,no,yes,no,no
Kolar,581,Karnataka,12.9,15.2,6.4,9.7,10.7,5.9,yes,no,yes,no
Kolasib,282,Mizoram,5.4,17.7,8.299999999999999,7.7,19.3,11.1,no,no,yes,no
Kolhapur,530,Maharashtra,23.1,24.7,19.700000000000006,14.2,3.5,6.4,yes,yes,no,no
Kolkata,342,West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Kollam,600,Kerala,20.2,34.4,4.4,12.3,12.5,8.9,yes,no,yes,no
Koppal,560,Karnataka,15.0,10.5,15.4,6.5,9.4,6.5,no,no,yes,no
Koraput,398,Odisha,8.8,6.3,13.599999999999998,9.9,8.5,5.2,no,yes,yes,no
Korba,404,Chhattisgarh,3.7,7.3,19.5,11.0,8.3,5.9,no,yes,yes,no
Korea,400,Chhattisgarh,10.1,7.1,11.5,12.4,4.2,4.2,no,no,no,no
Kota,127,Rajasthan,8.6,11.6,9.6,4.8,6.3,3.9,no,no,no,no
Kottayam,597,Kerala,24.7,29.6,4.9,7.7,12.1,10.1,yes,no,yes,no
Kozhikode,591,Kerala,9.3,23.1,7.8,4.5,17.4,9.5,no,no,yes,no
Krishna,547,Andhra Pradesh,38.6,40.9,12.1,11.099999999999998,1.8,11.2,yes,no,no,no
Krishnagiri,631,Tamil Nadu,19.7,19.1,16.2,7.0,8.7,4.4,yes,no,no,no
Kulgam,15,Jammu & Kashmir,13.4,30.0,12.0,15.1,5.7,4.8,yes,no,no,no
Kullu,26,Himachal Pradesh,20.2,25.7,31.7,13.2,5.2,3.4,yes,yes,no,no
Kupwara,1,Jammu & Kashmir,12.7,16.1,8.1,9.5,3.7,5.3,yes,no,no,no
Kurnool,552,Andhra Pradesh,26.7,20.3,16.8,9.9,1.0,5.1,yes,yes,no,no
Kurukshetra,72,Haryana,18.2,19.5,17.9,10.6,4.2,2.8,yes,yes,no,no
Kurung Kumey,256,Arunachal Pradesh,26.3,12.4,16.7,9.7,4.2,3.2,no,yes,no,no
Kushinagar,189,Uttar Pradesh,6.7,12.5,17.7,10.500000000000002,7.0,4.1,no,yes,no,no
Lahul and Spiti,25,Himachal Pradesh,19.4,23.4,19.1,10.3,1.9,2.7,yes,yes,no,no
Lakhimpur,307,Assam,14.2,13.4,27.1,20.0,11.9,6.8,yes,yes,yes,yes
Lakhisarai,227,Bihar,8.2,10.5,6.300000000000002,4.0,5.2,2.6,no,no,no,no
Lakshadweep,587,Lakshadweep,22.2,28.2,11.1,15.3,15.5,9.2,yes,no,yes,no
Lalitpur,167,Uttar Pradesh,3.5,6.0,6.8,4.6,4.5,5.8,no,no,no,no
Latehar,359,Jharkhand,9.5,6.7,13.2,7.4,7.2,2.0,no,no,no,no
Latur,524,Maharashtra,15.7,18.2,14.8,6.9,5.2,3.5,yes,no,no,no
Lawngtlai,287,Mizoram,13.8,8.8,15.9,7.300000000000002,10.6,6.3,no,no,yes,no
Leh(Ladakh),3,Jammu & Kashmir,23.9,19.2,13.1,6.5,0.0,1.7,yes,no,no,no
Lohardaga,356,Jharkhand,8.4,5.2,15.1,7.0,7.6,3.5,no,no,no,no
Lohit,259,Arunachal Pradesh,15.2,13.1,19.1,10.0,6.1,3.9,yes,yes,no,no
Longleng,268,Nagaland,5.8,6.1,17.0,17.3,8.8,6.1,no,yes,yes,no
Lower Dibang Valley,258,Arunachal Pradesh,16.6,15.9,17.5,8.6,7.1,3.9,yes,yes,no,no
Lower Subansiri,255,Arunachal Pradesh,26.9,19.4,26.5,19.5,4.7,4.4,yes,yes,no,no
Lucknow,157,Uttar Pradesh,16.0,10.5,9.6,6.1,5.3,4.5,no,no,no,no
Ludhiana,41,Punjab,23.3,38.1,29.6,12.2,7.3,6.6,yes,yes,yes,yes
Lunglei,286,Mizoram,11.6,14.9,11.0,8.5,12.4,6.8,no,no,yes,no
Madhepura,213,Bihar,9.9,7.2,6.1,5.8,4.1,4.6,no,no,no,no
Madhubani,207,Bihar,9.8,8.9,7.4,4.8,3.7,2.4,no,no,no,no
Madurai,623,Tamil Nadu,32.5,26.2,21.8,9.1,9.6,7.2,yes,yes,yes,yes
Mahamaya Nagar,144,Uttar Pradesh,11.5,14.8,10.8,6.1,3.6,5.0,no,no,no,no
Maharajganj,187,Uttar Pradesh,8.7,13.0,15.7,13.0,13.0,9.0,no,yes,yes,no
Mahasamund,411,Chhattisgarh,6.9,6.9,10.4,7.5,12.8,6.7,no,no,yes,no
Mahbubnagar,538,Telangana,18.3,16.4,22.9,8.700000000000001,6.0,5.5,yes,yes,no,no
Mahe,636,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,no
Mahendragarh,84,Haryana,14.6,14.5,17.7,10.999999999999998,5.5,2.6,yes,yes,no,no
Mahesena,471,Gujarat,13.7,18.4,9.3,7.6,10.2,5.8,yes,no,yes,no
Mahoba,169,Uttar Pradesh,9.6,6.5,2.7,3.1,6.2,4.0,no,no,no,no
Mainpuri,148,Uttar Pradesh,6.4,12.6,13.6,7.699999999999998,5.5,2.9,no,no,no,no
Malappuram,592,Kerala,33.2,33.8,10.1,8.9,13.7,11.9,yes,no,yes,no
Maldah,332,West Bengal,9.0,9.9,13.9,9.8,13.8,7.9,no,yes,yes,no
Malkangiri,399,Odisha,5.6,5.0,13.0,5.1000000000000005,8.7,4.7,no,no,no,no
Mamit,281,Mizoram,11.4,11.3,12.4,7.800000000000002,6.3,7.5,no,no,no,no
Mandi,27,Himachal Pradesh,14.7,23.4,21.6,12.6,4.7,2.9,yes,yes,no,no
Mandla,454,Madhya Pradesh,5.8,5.4,18.4,10.2,6.7,4.2,no,yes,no,no
Mandsaur,433,Madhya Pradesh,13.2,10.5,21.6,11.8,11.8,7.4,no,yes,yes,no
Mandya,573,Karnataka,25.5,25.7,11.3,8.8,9.5,7.0,yes,no,yes,no
Mansa,47,Punjab,16.7,22.8,27.2,15.499999999999998,4.7,5.3,yes,yes,no,no
Mathura,145,Uttar Pradesh,16.9,16.8,8.5,7.1000000000000005,4.3,2.8,yes,no,no,no
Mau,192,Uttar Pradesh,13.0,14.6,4.5,8.9,7.5,4.5,yes,no,no,no
Mayurbhanj,376,Odisha,13.3,6.7,15.6,13.4,11.3,7.9,no,yes,yes,no
